id,data_prevista,turno,demanda_estimada,unidade,regional,executado_em,confianca
d9a70252-41b1-40d7-a21f-3ff692fcc106,2026-04-07,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
81ca0da9-25b2-4914-97ad-6ab7d693b165,2026-04-08,madrugada,32,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
ffffffb8-bdb2-464c-9751-15ccbb6b46fb,2026-04-09,madrugada,40,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
b3f38a0a-a847-4e46-a4fc-d186a21d0624,2026-04-10,madrugada,35,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
1cd51ef6-9187-4903-8b36-78dca7e58080,2026-04-11,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
ee28a0f0-1988-4774-82ba-20bf9b4e8996,2026-04-12,madrugada,36,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
1b4db7b5-a749-44fd-845f-877c07a2411f,2026-04-13,madrugada,39,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
18cb2d44-5865-460c-a87c-53a6add12714,2026-04-14,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
58b29ed6-7693-4c55-9be7-04159dc6595f,2026-04-15,madrugada,32,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
34345bc6-8c48-4181-a1fd-712496c43f69,2026-04-16,madrugada,40,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
011e7e9a-cdac-4805-af2f-d538e36ff030,2026-04-17,madrugada,35,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
586bb4d0-d889-42d9-8308-411dce6f3cea,2026-04-18,madrugada,38,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
d7c5b047-bdc2-45a0-8667-5448d95fd185,2026-04-19,madrugada,36,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
cf84548a-b49c-46f5-8c50-adf3b2f64ac1,2026-04-20,madrugada,39,Anestesista MG,mg,2026-04-06T18:22:46.466+00:00,alta
