id,data,turno,total_atendimentos,unidade,regional,created_at
335d4fa9-857a-4ef5-9d3c-e8e731d8d57d,2024-04-02,madrugada,37,013 - PS SIG_DF,DF,2026-04-01T18:14:35.070451+00:00
fd910fed-48b2-46ec-822d-f614487a7519,2024-04-02,manha,105,013 - PS SIG_DF,DF,2026-04-01T18:14:35.070451+00:00
b8631f1f-a0fa-4bbe-bc3c-91c6d2567d1c,2024-04-02,noite,65,013 - PS SIG_DF,DF,2026-04-01T18:14:35.070451+00:00
09178bb0-8a83-43a8-a8c6-b86abb3c520e,2024-04-02,tarde,101,013 - PS SIG_DF,DF,2026-04-01T18:14:35.070451+00:00
28f99aed-03ad-4be3-b39f-7b6c02d74b3e,2024-04-02,madrugada,46,039 - PS TAGUATINGA_DF,DF,2026-04-01T18:14:35.070451+00:00
9292c668-439c-4e22-9e16-9c7791bf0242,2024-04-02,manha,100,039 - PS TAGUATINGA_DF,DF,2026-04-01T18:14:35.070451+00:00
82a7f3ca-71e7-489d-94b2-0d2cf42f13dc,2024-04-02,noite,65,039 - PS TAGUATINGA_DF,DF,2026-04-01T18:14:35.070451+00:00
a5b6fab3-0b99-4ad1-a9b0-cb33b26a8958,2024-04-02,tarde,82,039 - PS TAGUATINGA_DF,DF,2026-04-01T18:14:35.070451+00:00
2306d37e-2de5-483e-97ab-6021d2ed6ab6,2024-04-02,madrugada,44,001 - PS HOSPITAL VITÓRIA_ES,ES,2026-04-01T18:14:35.070451+00:00
4c156e5a-c807-46ed-a6ab-54f4b45d172d,2024-04-02,manha,119,001 - PS HOSPITAL VITÓRIA_ES,ES,2026-04-01T18:14:35.070451+00:00
f29f367f-7c8f-450f-bf65-bf01c1110174,2024-04-02,noite,75,001 - PS HOSPITAL VITÓRIA_ES,ES,2026-04-01T18:14:35.070451+00:00
a2790252-6153-4611-90dd-b6f693c40a60,2024-04-02,tarde,103,001 - PS HOSPITAL VITÓRIA_ES,ES,2026-04-01T18:14:35.070451+00:00
96e8ffe4-4697-4613-bf87-95a57702f9be,2024-04-02,madrugada,32,003 - PS VILA VELHA_ES,ES,2026-04-01T18:14:35.070451+00:00
51c31741-f67f-4399-87b9-92028c4af53a,2024-04-02,manha,102,003 - PS VILA VELHA_ES,ES,2026-04-01T18:14:35.070451+00:00
fcd7e3ee-9aa3-4cbd-be47-78cc8ed4c32c,2024-04-02,noite,68,003 - PS VILA VELHA_ES,ES,2026-04-01T18:14:35.070451+00:00
